year,offline-rl,rl
2011,55,9040
2012,55,9860
2013,54,10800
2014,61,11500
2015,84,12500
2016,88,13300
2017,129,19300
2018,199,32800
2019,265,49400
2020,568,60100
2021,1190,51300
